link_post,total_likes,total_comments
https://www.instagram.com/reel/C65wOv_r4Ep/,37.0,0.0
https://www.instagram.com/p/C6zweLiyy6L/,81.0,1.0
https://www.instagram.com/p/C6jWP0bS5xX/,31.0,1.0
https://www.instagram.com/p/C6Qrc2VLWwS/,20.0,0.0
https://www.instagram.com/reel/C6OHXy_Leo_/,403.0,13.0
https://www.instagram.com/p/C6A8v7Sr62_/,14.0,0.0
https://www.instagram.com/reel/C5qvIN0yKNb/,216.0,33.0
https://www.instagram.com/reel/C5LPiiaLkhU/,40.0,0.0
https://www.instagram.com/p/C3-VbAyS9zm/,94.0,7.0
https://www.instagram.com/reel/C314H2FLxeB/,26.0,0.0
https://www.instagram.com/reel/C3jn6xFPvxK/,115.0,2.0
https://www.instagram.com/reel/C3JltvkxL_m/,77.0,0.0
https://www.instagram.com/reel/C3Da2SDps18/,19.0,3.0
https://www.instagram.com/reel/C2po9FMSrvU/,12.0,0.0
https://www.instagram.com/reel/C2lTNk-yCaK/,,
https://www.instagram.com/p/C2HrKkdLKTx/,76.0,0.0
https://www.instagram.com/reel/C2E-a7VLl44/,10.0,0.0
https://www.instagram.com/reel/C131V3gr196/,125.0,2.0
https://www.instagram.com/reel/C1hvgUcScMb/,37.0,0.0
https://www.instagram.com/p/C1hcJ61LB0-/,15.0,0.0
https://www.instagram.com/p/C1g4KY7LqzZ/,28.0,1.0
https://www.instagram.com/p/C1UCCFNS7jv/,280.0,10.0
https://www.instagram.com/p/C1RZ7UQL75B/,70.0,3.0
https://www.instagram.com/p/C1PMQwELqyk/,26.0,2.0
https://www.instagram.com/p/C1Me_6mLeGT/,33.0,3.0
https://www.instagram.com/p/C1HotVtRn2s/,156.0,11.0
https://www.instagram.com/p/C0D7EVKrrTR/,29.0,0.0
https://www.instagram.com/p/CzxXsd0LwRj/,31.0,1.0
https://www.instagram.com/p/CzuKSPKyd9q/,17.0,0.0
https://www.instagram.com/reel/Czn8EYWrMvo/,22.0,4.0
https://www.instagram.com/p/Cy0F6svreA4/,100.0,0.0
https://www.instagram.com/reel/CynM-J2LrW0/,41.0,14.0
https://www.instagram.com/reel/CxVKFMvLeFB/,41.0,6.0
https://www.instagram.com/reel/CxHc0L5vwTQ/,405.0,4.0
https://www.instagram.com/reel/CwOr1DWoBuN/,70.0,4.0
https://www.instagram.com/p/CwMqRlzrJDq/,63.0,13.0
https://www.instagram.com/reel/CwK9OjKIpl3/,58.0,0.0
https://www.instagram.com/p/CwGSN1cSx2H/,52.0,0.0
https://www.instagram.com/reel/Cv6SvLMx8Vk/,60.0,2.0
https://www.instagram.com/reel/Cvv6xIDs8P0/,15.0,0.0
https://www.instagram.com/reel/CvrOn12Ov7b/,71.0,10.0
https://www.instagram.com/p/CvoFdCPvXXN/,39.0,0.0
https://www.instagram.com/p/CvjWraUPILc/,91.0,6.0
https://www.instagram.com/reel/CvjCWEspwsd/,59.0,0.0
https://www.instagram.com/reel/CvU2QUFxdJy/,35.0,3.0
https://www.instagram.com/reel/CvLuAAepX2i/,207.0,8.0
https://www.instagram.com/reel/CvHFuSBJMSJ/,164.0,5.0
https://www.instagram.com/p/CvBedRcP6Vf/,205.0,13.0
https://www.instagram.com/p/Cu4XIIdvTGV/,29.0,1.0
https://www.instagram.com/reel/Cuwl4BJPmle/,35.0,8.0
https://www.instagram.com/p/Cuuf3UPvCdD/,169.0,0.0
https://www.instagram.com/p/CuRmw6qvQV1/,38.0,6.0
https://www.instagram.com/p/CuQtvKPvm2O/,485.0,19.0
https://www.instagram.com/p/CtzQhmuv7Bn/,46.0,16.0
https://www.instagram.com/reel/CtjuuXrtr53/,45.0,2.0
https://www.instagram.com/p/CtYtIVyvNZI/,47.0,0.0
https://www.instagram.com/reel/CtWfmR_vXxJ/,57.0,9.0
https://www.instagram.com/reel/CsvjfFyrHnK/,42.0,2.0
https://www.instagram.com/p/CmqbvzWvnmd/,36.0,0.0
https://www.instagram.com/p/CgomUiRPrXN/,31.0,1.0
https://www.instagram.com/p/CglTrktvseS/,20.0,1.0
https://www.instagram.com/reel/CeyO8VxDmkH/,178.0,2.0
https://www.instagram.com/reel/CeOgrFClDkB/,31.0,0.0
https://www.instagram.com/reel/CeBZI-xF6TJ/,36.0,0.0
