link_post,total_likes,total_comments
https://www.instagram.com/reel/BkCXF8zFp1v/,46,0
https://www.instagram.com/p/BkAKuD_FDnR/,43,0
https://www.instagram.com/p/BjrzydUFXXz/,52,0
https://www.instagram.com/p/BjrvCHiFvcg/,39,0
https://www.instagram.com/p/BjTnDEUlKhw/,43,0
https://www.instagram.com/p/Bi1Oh3XlxlW/,47,0
https://www.instagram.com/p/BinzpLxlsPy/,60,0
https://www.instagram.com/p/Biel7yeFR6A/,35,0
https://www.instagram.com/p/Bid6GvjleKM/,38,0
https://www.instagram.com/p/Bidq7OoFgC4/,50,0
https://www.instagram.com/p/BiZHm_4FNPz/,46,0
https://www.instagram.com/p/BiZG8-tFPDz/,43,0
https://www.instagram.com/p/BiZGkc4F26a/,39,0
https://www.instagram.com/p/Bh59nmNlCqF/,62,13
https://www.instagram.com/p/Bhu9TlylCAT/,44,0
https://www.instagram.com/p/BhbDsyGFnVh/,58,0
https://www.instagram.com/p/BhbDhy5FjOH/,47,0
https://www.instagram.com/p/BhbDJ9pl_xm/,50,2
https://www.instagram.com/reel/BhUhQ_oF1qG/,60,4
https://www.instagram.com/p/BhQiT3zFVG1/,60,2
https://www.instagram.com/reel/BhQgMJ9BD9z/,44,0
https://www.instagram.com/p/BhLyhdRFtZM/,61,0
https://www.instagram.com/p/BhLyUnMFIlZ/,52,0
https://www.instagram.com/p/BhLyQbPFmkT/,50,0
https://www.instagram.com/reel/Bg5bsITlcM3/,40,0
https://www.instagram.com/p/Bgn8X0al6I1/,110,3
https://www.instagram.com/p/Bf7qZWVlqV-/,59,0
https://www.instagram.com/p/BfuwxsOlgZq/,68,1
https://www.instagram.com/p/Bec7O4KFmcO/,41,1
https://www.instagram.com/p/BdO7X-Ml4b7/,49,0
https://www.instagram.com/reel/BdFl6QIFfQq/,62,0
https://www.instagram.com/p/BdCPEn3FYM6/,63,3
https://www.instagram.com/p/Bc6XkCDFxaD/,80,5
https://www.instagram.com/p/Bc6WirXl7Tk/,65,0
https://www.instagram.com/p/Bc4Rbtul7df/,72,4
https://www.instagram.com/p/Bby1Yx9FM0-/,20,0
https://www.instagram.com/p/Bby1WvmlT30/,22,0
https://www.instagram.com/p/Bby1VYHlgI2/,15,0
https://www.instagram.com/p/Bby1SdxFhRX/,27,0
https://www.instagram.com/p/Bby1NpdFUme/,29,0
https://www.instagram.com/p/Bby1L0HlaCj/,23,0
https://www.instagram.com/p/Bby1JpyFEHa/,22,0
https://www.instagram.com/p/Bby1HfJlG86/,17,0
https://www.instagram.com/p/Bby1Fr1lTnE/,25,0
https://www.instagram.com/p/Bbyxu86F10p/,66,3
https://www.instagram.com/reel/BbyWMxtFDb7/,42,2
https://www.instagram.com/reel/BbyVjCsFhYM/,47,1
https://www.instagram.com/p/BbRQB8jFlDD/,79,7
https://www.instagram.com/p/BbQn5sPlPA7/,63,0
https://www.instagram.com/p/BbOopEiFLoR/,43,1
https://www.instagram.com/p/Bak54cDlwPh/,63,5
https://www.instagram.com/p/Bai8YtwlUzK/,58,0
https://www.instagram.com/p/BaOVoBbFLcW/,48,0
https://www.instagram.com/p/BZLy4UFF7Ei/,54,7
https://www.instagram.com/reel/BZLsVl7FkoY/,41,0
https://www.instagram.com/reel/BZINHK8FJC2/,49,5
https://www.instagram.com/p/BZGgafBlGti/,44,0
https://www.instagram.com/p/BZGDf6jlJ_s/,53,2
https://www.instagram.com/reel/BZGCSCLl--I/,44,3
https://www.instagram.com/reel/BZFl_lBFF2g/,40,0
https://www.instagram.com/p/BYyJ_YKFvFd/,39,0
https://www.instagram.com/p/BYSDlm9lOfi/,49,11
https://www.instagram.com/p/BYR9racFlh7/,51,2
https://www.instagram.com/reel/BYR6XC_lyTC/,52,4
https://www.instagram.com/p/BYDg9OoFPSU/,31,0
https://www.instagram.com/p/BYC2A8hFRFZ/,46,0
https://www.instagram.com/reel/BX-azqhloZO/,55,9
https://www.instagram.com/p/BXWwBqblQE0/,42,1
https://www.instagram.com/p/BXWv0HUFVEa/,45,0
https://www.instagram.com/p/BXRwG_zFaEC/,45,0
https://www.instagram.com/p/BXMkgLDFRn_/,41,0
https://www.instagram.com/reel/BXMbFpkFHtr/,1,0
https://www.instagram.com/p/BXJ8uiFlfTc/,49,0
https://www.instagram.com/reel/BU3dSysFW4N/,43,7
https://www.instagram.com/p/BUjUYsJFp9n/,66,0
https://www.instagram.com/p/BUZp2EOlsuG/,32,0
https://www.instagram.com/p/BUTrSWnl_yL/,39,1
https://www.instagram.com/p/BUJb6YMFbsT/,44,4
https://www.instagram.com/p/BUJbyW0lGl9/,41,0
https://www.instagram.com/p/BUEtpnvlieP/,36,3
https://www.instagram.com/p/BUEs9GeFnso/,44,0
https://www.instagram.com/p/BT8K0tjlcWS/,36,3
https://www.instagram.com/p/BT6smrCFsCH/,33,0
https://www.instagram.com/p/BT6sQhYF752/,64,0
https://www.instagram.com/reel/BSp6tAuFaY4/,35,1
https://www.instagram.com/p/BPZOurDDb_q/,49,1
https://www.instagram.com/p/BPOuH-Pj4bb/,42,1
https://www.instagram.com/p/BPMWUJ-DqPZ/,40,2
https://www.instagram.com/p/BPLKxs9D1G1/,45,0
https://www.instagram.com/p/BOfHSt9Dy-E/,95,7
https://www.instagram.com/p/BNJTIdHju06/,39,0
https://www.instagram.com/p/BNGnF5-DBTc/,31,0
https://www.instagram.com/reel/BNGmMpRjEbr/,20,0
https://www.instagram.com/p/BNGlSJFDVeT/,39,2
https://www.instagram.com/p/BL7tXH-Dk-o/,31,0
https://www.instagram.com/p/BL7r_c2j2E_/,31,0
https://www.instagram.com/p/BL7qrnAjRnc/,20,0
https://www.instagram.com/p/BL7prvfjcZW/,19,0
