link_post,total_likes,total_comments
https://www.instagram.com/reel/DB8t8zSRf8E/,20.0,0.0
https://www.instagram.com/reel/DB8TX6nStgM/,87.0,6.0
https://www.instagram.com/reel/DB1S9aYvqMu/,106.0,0.0
https://www.instagram.com/p/DB0TiM8zZqZ/,67.0,0.0
https://www.instagram.com/reel/DBtLrqpsEfF/,59.0,0.0
https://www.instagram.com/reel/DBqLjrpPNN0/,61.0,0.0
https://www.instagram.com/reel/DBnRIXtuiU8/,248.0,17.0
https://www.instagram.com/reel/DBkaQHBtqW2/,123.0,2.0
https://www.instagram.com/p/DBf62B7T2-R/,138.0,0.0
https://www.instagram.com/reel/DBYDl0TvPJQ/,131.0,3.0
https://www.instagram.com/reel/DBV1b9OgfGz/,100.0,4.0
https://www.instagram.com/reel/DBTXthZgRig/,107.0,6.0
https://www.instagram.com/reel/DBRMq61OTL3/,136.0,0.0
https://www.instagram.com/reel/DBQCQqDv_20/,36.0,0.0
https://www.instagram.com/p/DBJr0P2T9Iv/,380.0,17.0
https://www.instagram.com/reel/DBG29HzNi1P/,58.0,0.0
https://www.instagram.com/reel/DA-aS6XNaaw/,69.0,0.0
https://www.instagram.com/reel/DA2PSPBsM7v/,146.0,5.0
https://www.instagram.com/reel/DAzcEMHugoZ/,118.0,3.0
https://www.instagram.com/reel/DAxr6VOheP2/,225.0,3.0
https://www.instagram.com/reel/DAnB5SLyuL1/,66.0,0.0
https://www.instagram.com/reel/DAlNFozu07z/,74.0,0.0
https://www.instagram.com/reel/DAddi2jubX0/,69.0,0.0
https://www.instagram.com/reel/DAa-AVBPsnK/,44.0,0.0
https://www.instagram.com/reel/DAW-SmEtis7/,43.0,0.0
https://www.instagram.com/reel/DAUrpp4pwLe/,89.0,0.0
https://www.instagram.com/p/DATBjHOzXcQ/,694.0,3.0
https://www.instagram.com/p/DAQmRUdzVWJ/,331.0,3.0
https://www.instagram.com/reel/DAKWxDWNF8h/,138.0,4.0
https://www.instagram.com/reel/DADZk4xtlrV/,148.0,1.0
https://www.instagram.com/reel/C_-fyWzqhFf/,79.0,3.0
https://www.instagram.com/reel/C_sIfxMyKBD/,695.0,14.0
https://www.instagram.com/reel/C_pjvHfSQTy/,54.0,0.0
https://www.instagram.com/reel/C_lD5gWyJAe/,52.0,1.0
https://www.instagram.com/reel/C_iIyZNSDLn/,138.0,7.0
https://www.instagram.com/reel/C_fIdMxSRFg/,70.0,2.0
https://www.instagram.com/reel/C_YMaPLyJJC/,163.0,4.0
https://www.instagram.com/reel/C_VdOwhBN3z/,101.0,2.0
https://www.instagram.com/reel/C_GepinvPGm/,108.0,1.0
https://www.instagram.com/reel/C_FN6aHS9Xe/,45.0,0.0
https://www.instagram.com/reel/C-wU9uaSjul/,24.0,0.0
https://www.instagram.com/reel/C99qNKPyBrF/,124.0,5.0
https://www.instagram.com/reel/C9PTfX5yBJ3/,164.0,0.0
https://www.instagram.com/reel/C9KfYS5y5SB/,130.0,2.0
https://www.instagram.com/p/C9BbsbEPOEI/,164.0,0.0
https://www.instagram.com/reel/C86PJN8yYZV/,296.0,20.0
https://www.instagram.com/reel/C83owgQyOUz/,101.0,3.0
https://www.instagram.com/reel/C80599SSQ37/,250.0,1.0
https://www.instagram.com/reel/C80Xz-SSk9i/,194.0,10.0
https://www.instagram.com/reel/C8vte6cSjZW/,93.0,2.0
https://www.instagram.com/reel/C8pMwM_yyZ6/,174.0,2.0
https://www.instagram.com/reel/C8oKl37y5k9/,48.0,0.0
https://www.instagram.com/reel/C8oBWn3ypDh/,46.0,0.0
https://www.instagram.com/p/C8nxxMEyFCX/,347.0,0.0
https://www.instagram.com/reel/C8jpKRSShLd/,393.0,11.0
https://www.instagram.com/reel/C8jflMXy7AD/,78.0,4.0
https://www.instagram.com/p/C8fCfcBy0ed/,355.0,11.0
https://www.instagram.com/p/C8bjt7SSSEW/,122.0,1.0
https://www.instagram.com/reel/C8Vqe8PSK8E/,88.0,5.0
https://www.instagram.com/reel/C8E-u8ySWbR/,37.0,0.0
https://www.instagram.com/reel/C7s1VxCyCGf/,95.0,2.0
https://www.instagram.com/reel/C7p2LYkPLBw/,95.0,7.0
https://www.instagram.com/reel/C7obSOKv9Wz/,18.0,0.0
https://www.instagram.com/reel/C7ibT-ayRIS/,80.0,3.0
https://www.instagram.com/reel/C7TMEgdypdb/,94.0,4.0
https://www.instagram.com/reel/C7OxJLZyPre/,89.0,2.0
https://www.instagram.com/reel/C7D8uj1S67F/,95.0,5.0
https://www.instagram.com/p/C66DGu5yvQQ/,46.0,0.0
https://www.instagram.com/reel/C6vVtSUyisJ/,346.0,0.0
https://www.instagram.com/reel/C6dfzMmy1sq/,152.0,0.0
https://www.instagram.com/reel/C6a1lnDul6f/,288.0,23.0
https://www.instagram.com/reel/C6X_TyGSbxh/,51.0,0.0
https://www.instagram.com/reel/C6WDtirSsYu/,122.0,3.0
https://www.instagram.com/reel/C6OKgveSUCE/,81.0,8.0
https://www.instagram.com/reel/C5yOU-ypwQc/,653.0,45.0
https://www.instagram.com/reel/C5nf5ptSwPE/,60.0,0.0
https://www.instagram.com/reel/C5kSBDEyFvq/,722.0,18.0
https://www.instagram.com/reel/C5TbLFRPND7/,715.0,2.0
https://www.instagram.com/reel/C5F_f-ZSrdq/,121.0,4.0
https://www.instagram.com/reel/C5C7Ok9rkiV/,726.0,11.0
