post_link,post_id,username,comment,datetime,clean_comment,sentiment
https://www.instagram.com/p/DEHaOpVp5YK/,desawisata_sitimulyo,manus.ia3892,Gass poll min 🔥,2024-12-29T11:48:58.000Z,gass poll,neutral
https://www.instagram.com/p/DEHaOpVp5YK/,desawisata_sitimulyo,irsa_indahh,Tpi alangkah baiknya jangan ajak doi kalo blm sah kan itu bukti cinta Rasulullah jadi jangan kotori majelis dgn ajak orang yg blm halal😌,2024-12-30T04:39:28.000Z,alangkah ajak bukti cinta rasulullah kotor majelis ajak orang halal,negative
https://www.instagram.com/p/DEHaOpVp5YK/,desawisata_sitimulyo,agustholek,Cobo pas mlm tahun baru pasti + seru iki mau,2024-12-30T17:27:50.000Z,coba malam seru,neutral
