link,views,id
https://www.tiktok.com/@gunungapipurba/video/7411535698634788101,2706,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7410641055684513030,3356,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7409681012491308294,8820,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7407000191846354182,2219,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7406945035822025989,2584,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7406928835595357446,3799,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7405780358593088773,5284,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7405513999741144326,16900,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7405028402945805573,1577,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7403936673786268933,1144,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7401769589111115014,1621,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7400723334649974021,179000,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7398372144645754118,6151,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7396219829813923077,158700,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7391818487833824517,5036,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7389968762864225541,16400,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7386170982123212038,3356,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7386116031804116229,7661,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7385410649842535686,3146,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7385143915143335174,1869,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7384465536459066630,8691,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7384321820263992581,12500,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7384295000751869190,1561,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7383512921495588101,14000,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7383210902322957574,3870,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7382881193450147077,4574,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7381804775945309445,19900,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7380969625456053510,3768,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7378490928585018629,44800,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7376518269185920261,1419,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7375784212823051526,2339,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7375352878694681861,1605,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7372074789395041541,1993,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7371631022854786309,4283,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7369874838842035461,1661,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7367954155631103238,11200,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7367230148564897030,755,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7366634771218468101,62100,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7366178404430826757,1362,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7364256477185461510,3400,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7356195152320335110,37500,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7355912463159807238,5779,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7352489981782379782,1820,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7348651378669096198,7786,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7346124683680697605,4204,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7342084469794376966,1076,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7338711729699835141,7996,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7337548018192895238,3706,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7335373548619402502,6730,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7333595583627791622,2093,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7328330199102360837,14300,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7326421232092450053,9708,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7318781824161893637,1598,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7314662647583100166,818,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7313536087094365445,1267,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7312678306497711365,2213,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7312412375477472518,1176,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7309772800435227910,16800,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7305230871034973445,27000,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7297539958829632774,5558,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7294909570453900550,1407,gunungapipurba
https://www.tiktok.com/@gunungapipurba/video/7288514110248078597,2674,gunungapipurba
